name,addresse,cat1,cat2,review_num,score_min,score,review,reviews_date,reviews_id
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,5,진짜 맛있습니다. 가게 분위기도 이국적이고 가격도 해외음식치고는 적당합니다.    난 엄청 커요;; 시키실 때 유의하세요. 고기 양념이며 음료며 휼륭합니다. 사장님도 엄청 친절하세요 ㅎㅎ,2021.04.30.,Sven
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,5,존맛,2021.03.27.,맞말하는사람
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,5,커리생각나면 무조건 이집으로간다. 직원분들도 친절하시고 맛도 보장되있는 신중동 맛집.,2021.03.01.,CH.E~♡
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,4,친절하시고 괜찮았습니다,2020.11.15.,배형구
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,5,사장님 엄청 친절하시고 메뉴 추천 잘 해주세요! 커리 양도 넉넉히 주시고 너무 맛있었어요 세트로 먹으면 좋아요~ 허니난은 손에 안 묻게 다 잘라 주셔서 넘 좋았어요~,2020.11.11.,cenpoodle
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,5,매우 맛있음 가격은 좀 있음. 일상적으로 가서 먹을 가게는 아님 특별한날 강추,2020.11.01.,맛난거먹고파
탄두르,경기 부천시 조마루로 295 (우)14580,인도음식,"['사모사\n4,000', '베지터블 파코다\n5,000', '그린 샐러드\n4,000', '치즈샐러드\n6,000', '치킨 머쉬룸 스프\n4,000', '탄두리 치킨 (HALF)\n9,000', '', '', '']",116,4.7,4,"임산부 와이프와 같이왔습니다 갈릭난1, 플레인난2  새우소스1, 치킨소스1 먹었습니다 맛있구요 분위기도 라바트같은 느낌이고, 강제 인도 분위기의 느낌 없어서 좋았습니다. 또 먹으러 오고싶습니다. 조용하고 좋습니다. 맛집인 이유가 있어요 단, 물은 줘야 마셔요 부족하시면 콜 해야해요^^;",2020.09.19.,리얼생생
피자헛 부천춘의점,경기 부천시 부천로 225 (우)14529,피자헛,"['마니아 BBQ불고기\n28,500\n담백한 포테이토에 고소한 모짜렐라 치즈를 더해 풍미 가득한 피자 *해당 이미지는 파마산엣지가 적용된 예시입니다.', '더블치즈 스테이크\n35,900\n프리미엄 스테이크와 더블치즈의 깊은풍미', '수퍼슈프림\n23,900\n팬 수퍼슈프림', '갈릭버터 쉬림프\n35,900\n갈릭버터의 진한풍미가 가득한 통새우가 듬뿍', '직화 불고기\n35,900\n남녀노소 좋아하는 불맛가득 불고기가 듬뿍', '수퍼 슈프림\n35,900\n오랫동안 사랑받아온 정통 콤비네이션피자', '']",1,3.7,3,라지하나랑 치킨반마리 이벤트 하길래 주문해봤는데 너무 충격이에요.. 일단 치킨 양이 광고에 비해 많이 적어서 실망했구요 맛도.. 너무 이상해요. 태어나서 이렇게 맛없는 치킨은 몇번 못먹어봤거든요 피자가 너무 느끼해요. 왠만한거 잘먹는 편인데 피자를 무슨 기름에 튀겨왔는지 빵이 식감이 낯설고 씹는맛이 안들어요. 손으로 들어보면 유난히 가벼워요. 바닥엔 기름기...,2021.04.11.,성재
피자헛 부천춘의점,경기 부천시 부천로 225 (우)14529,피자헛,"['마니아 BBQ불고기\n28,500\n담백한 포테이토에 고소한 모짜렐라 치즈를 더해 풍미 가득한 피자 *해당 이미지는 파마산엣지가 적용된 예시입니다.', '더블치즈 스테이크\n35,900\n프리미엄 스테이크와 더블치즈의 깊은풍미', '수퍼슈프림\n23,900\n팬 수퍼슈프림', '갈릭버터 쉬림프\n35,900\n갈릭버터의 진한풍미가 가득한 통새우가 듬뿍', '직화 불고기\n35,900\n남녀노소 좋아하는 불맛가득 불고기가 듬뿍', '수퍼 슈프림\n35,900\n오랫동안 사랑받아온 정통 콤비네이션피자', '']",1,3.7,5,직원분이 친절하세요. 항상 방문포장 하는 곳입니다. ,2019.04.09.,JJH
피자헛 부천춘의점,경기 부천시 부천로 225 (우)14529,피자헛,"['마니아 BBQ불고기\n28,500\n담백한 포테이토에 고소한 모짜렐라 치즈를 더해 풍미 가득한 피자 *해당 이미지는 파마산엣지가 적용된 예시입니다.', '더블치즈 스테이크\n35,900\n프리미엄 스테이크와 더블치즈의 깊은풍미', '수퍼슈프림\n23,900\n팬 수퍼슈프림', '갈릭버터 쉬림프\n35,900\n갈릭버터의 진한풍미가 가득한 통새우가 듬뿍', '직화 불고기\n35,900\n남녀노소 좋아하는 불맛가득 불고기가 듬뿍', '수퍼 슈프림\n35,900\n오랫동안 사랑받아온 정통 콤비네이션피자', '']",1,3.7,3,배달시켜 먹었는데 그냥 먹을만함,2017.08.15.,후니
본궁정육식당,경기 부천시 옥산로 111 1층 (우)14534,"육류,고기","['특수부위 (200g)\n30,000', '꽃등심 (200g)\n27,000', '갈비살 (200g)\n27,000', '차돌박이 (200g)\n20,000', '육회 (200g)\n20,000']",8,3.0,3,생각보다 비싸고 정육식당이라기 보단 부위를 그램단위로 파네요. 소고기 특수부위를 좋아하지 않아서 그냥저냥 먹었어요,2018.05.24.,스노우볼
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,5,,2022.05.09.,ㅈㅈㅇ
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,1,맛은 그럭저럭 해.. 근데 바가지(단발)머리에 여자 진짜 불친절해 일이 하기싫음 하지말지 왜티를내   뭐 큰거바라냐 상냥하게만 해라..  반찬 더달라고 하기도 그래  7번정도 가봤는데  이제안갈거야  ♩~♩,2022.04.03.,m
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,5,여기가 불친절 하다고? 무릎 꿇고 주문 받길 원하냐?,2021.12.15.,내눈은동태눈깔
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,1,불친절함의 극치  돈 벌면 안하무인 꼿꼿인가? 인사는 기본     카드도 한손으로받고  뭐 상류층 이라도 되어서 손님들보기를 아래로 보는 모양이군,2021.11.26.,서보현(성신eng)
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,4,ㅋㅋㅋㅋ,2021.09.14.,ㅋ맨
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,2,주문 받으시는 분 너무 불친절 함 이 가게에서 먹고 싶은 마음 사라짐  할아버지 어디 가셨나요? ,2021.06.22.,조니아이브
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,1,맛 별루 지역화폐 카드 사용안됨,2021.05.12.,문영환
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,3,,2021.05.10.,카프리
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,4,어렸을 때부터 먹던 추억의 돈까스맛집 직원들이 친절하진 않지만 할 일은 잘 합니다ㅎ 왕돈까스 8000원 착한가격에 배를 든든히 채울 수 있어요,2021.04.09.,cenpoodle
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,1,별로임 옛날맛이아니고    사장 돈좀 버렀다고 거만한자세로 계산만하고있고  음식이나 신경쓰고 거만 떨어라  이젠 자녀로 카운터 바뀐거 같더라  내가 여기 최초 원주인 콩알만한자리때부터 갔던1인으로써 참 어이가없는 지금 주인,2021.03.28.,용알
성북동왕돈까스,경기 부천시 중동로254번길 104 1층 (우)14548,"돈까스,우동","['정식\n9,000\n돈까스+치킨까스+생선까스', '신해물우동볶이\n8,000\n겨울메뉴', '치즈돈까스\n9,000', '갈릭돈까스 (마늘)\n9,000', '매콤돈까스\n9,000', '돈까스\n8,000', '', '', '', '', '', '']",121,2.2,3,그냥그래요,2021.03.10.,wdm
